sep=';'
duration, ns;size;Container type;Optional message
52125;100000;vector;
105833;100000;deque;
263167;100000;list;
103833;200000;vector;
218708;200000;deque;
493209;200000;list;
155667;300000;vector;
320708;300000;deque;
790792;300000;list;
207959;400000;vector;
425334;400000;deque;
963583;400000;list;
259791;500000;vector;
533791;500000;deque;
1325750;500000;list;
311584;600000;vector;
636500;600000;deque;
1415917;600000;list;
362667;700000;vector;
744500;700000;deque;
1681416;700000;list;
415292;800000;vector;
849125;800000;deque;
1837458;800000;list;
465708;900000;vector;
955542;900000;deque;
2103834;900000;list;
517333;1000000;vector;
1058791;1000000;deque;
2305542;1000000;list;
